source_locale,store_locale,title,short_description,full_description,release_notes,feature_graphic_alt
en,en-US,Almost - Stop Impulse Buying,"Pause impulse buys, track money kept, and build smarter saving habits","Stop impulse buying before it becomes regret. Almost helps you pause in the moment, record what you nearly bought, and turn every intentional decision into visible progress.

MAKE THE PAUSE USEFUL
• Save or spend from a temptation card and see the monthly impact first
• Put a purchase in Think Later and return with a clearer head
• Build no-spend streaks without shame or rigid rules

SEE YOUR MONEY PATTERNS
• Get adaptive monthly limits based on your habits
• Review weekly and monthly reports
• Use the impulse map to spot risky days, categories, and triggers
• Track subscriptions, upcoming charges, and recurring pressure

KEEP A GOAL IN SIGHT
• Create savings goals and follow progress over time
• Complete challenges, earn rewards, and care for Almi
• Use home-screen widgets for quick daily context

Almost is a personal decision and planning tool. It is not a bank, does not provide financial advice, and does not move money or confirm transfers.","Almost is now easier and more enjoyable to use, with a refreshed design across the app, clearer navigation, and polished screens, cards, and controls.","Almi beside clear budget, calendar, savings goal, and progress cards in the refreshed Almost visual style."
es,es-ES,Almost: frena compras impulso,"Pausa compras impulsivas, registra lo ahorrado y crea mejores hábitos","Frena una compra impulsiva antes de que se convierta en arrepentimiento. Almost te ayuda a pausar, registrar lo que casi compraste y convertir cada decisión consciente en progreso visible.

HAZ QUE LA PAUSA CUENTE
• Ahorra o gasta desde una tarjeta de tentación y mira antes el impacto mensual
• Envía una compra a Pensar después y vuelve con la mente más clara
• Crea rachas sin gasto sin culpa ni reglas rígidas

ENTIENDE TUS PATRONES
• Recibe límites mensuales que se adaptan a tus hábitos
• Consulta informes semanales y mensuales
• Usa el mapa de impulsos para detectar días, categorías y detonantes de riesgo
• Controla suscripciones y próximos cobros

MANTÉN TUS METAS A LA VISTA
• Crea metas de ahorro y sigue su avance
• Completa retos, gana recompensas y cuida de Almi
• Consulta el contexto diario desde los widgets

Almost es una herramienta personal de decisión y planificación. No es un banco, no ofrece asesoramiento financiero y no mueve dinero ni confirma transferencias.","Almost ahora es más fácil y agradable de usar, con un diseño renovado en toda la app, una navegación más clara y pantallas, tarjetas y controles más cuidados.","Almi junto a tarjetas claras de presupuesto, calendario, meta de ahorro y progreso con el nuevo estilo visual de Almost."
fr,fr-FR,Almost : achats impulsifs,Freine les achats impulsifs et construis de meilleures habitudes d’épargne,"Freine un achat impulsif avant qu’il ne devienne un regret. Almost t’aide à faire une pause, noter ce que tu as failli acheter et transformer chaque décision consciente en progrès visible.

UNE PAUSE QUI COMPTE
• Épargne ou dépense depuis une carte de tentation et vois d’abord l’impact mensuel
• Place un achat dans À revoir plus tard et reviens avec les idées plus claires
• Construis des séries sans dépense, sans culpabilité ni règles rigides

COMPRENDS TES HABITUDES
• Obtiens des limites mensuelles adaptées à ton comportement
• Consulte les rapports hebdomadaires et mensuels
• Utilise la carte des impulsions pour repérer les jours, catégories et déclencheurs à risque
• Suis les abonnements et les prochains prélèvements

GARDE TON OBJECTIF EN VUE
• Crée des objectifs d’épargne et suis leur progression
• Relève des défis, gagne des récompenses et prends soin d’Almi
• Consulte le contexte du jour depuis les widgets

Almost est un outil personnel de décision et de planification. Ce n’est pas une banque, il ne fournit pas de conseil financier et ne déplace ni ne confirme aucun transfert d’argent.","Almost est désormais plus simple et plus agréable à utiliser, avec un design repensé dans toute l’app, une navigation plus claire et des écrans, cartes et commandes plus soignées.","Almi près de cartes claires de budget, calendrier, objectif d’épargne et progression dans le nouveau style visuel d’Almost."
ru,ru-RU,Almost: стоп импульс-покупкам,Останавливай импульсные покупки и формируй привычку копить осознанно,"Останови импульсную покупку до того, как она превратится в сожаление. Almost помогает сделать паузу, записать то, что ты чуть не купил, и превратить осознанное решение в заметный прогресс.

ПАУЗА С ПОЛЬЗОЙ
• Сохраняй или трать из карточки искушения и заранее смотри месячный эффект
• Отправляй покупку в «Подумать позже» и возвращайся к ней с ясной головой
• Собирай серии дней без трат без стыда и жёстких правил

ПОНИМАЙ СВОИ ПАТТЕРНЫ
• Получай месячные лимиты, которые адаптируются к привычкам
• Смотри недельные и месячные отчёты
• Находи рискованные дни, категории и триггеры на карте импульсов
• Следи за подписками и ближайшими списаниями

ДЕРЖИ ЦЕЛЬ ПЕРЕД ГЛАЗАМИ
• Создавай цели накоплений и следи за прогрессом
• Выполняй челленджи, получай награды и заботься об Алми
• Быстро проверяй день через виджеты

Almost — личный инструмент для решений и планирования. Это не банк: приложение не даёт финансовых советов, не перемещает деньги и не подтверждает переводы.","Almost стал удобнее и приятнее: мы обновили дизайн всего приложения, сделали навигацию понятнее, а экраны, карточки и элементы управления — аккуратнее.","Алми рядом с понятными карточками бюджета, календаря, цели накоплений и прогресса в обновлённом стиле Almost."
de,de-DE,Almost: Impulskäufe stoppen,Stoppe Impulskäufe und entwickle bewusstere Spargewohnheiten,"Stoppe Impulskäufe, bevor sie zu Reue werden. Almost hilft dir, im richtigen Moment innezuhalten, Beinahe-Käufe festzuhalten und bewusste Entscheidungen als sichtbaren Fortschritt zu erleben.

MACH DIE PAUSE WERTVOLL
• Spare oder gib über eine Versuchungskarte aus und sieh vorher die Monatswirkung
• Lege einen Kauf in Später überlegen und kehre mit klarem Kopf zurück
• Baue kaufreie Serien ohne Schuldgefühl oder starre Regeln auf

ERKENNE DEINE MUSTER
• Nutze monatliche Limits, die sich an deine Gewohnheiten anpassen
• Prüfe Wochen- und Monatsberichte
• Erkenne riskante Tage, Kategorien und Auslöser auf der Impulskarte
• Behalte Abos und kommende Abbuchungen im Blick

BEHALTE DEIN ZIEL VOR AUGEN
• Erstelle Sparziele und verfolge den Fortschritt
• Schließe Challenges ab, verdiene Belohnungen und kümmere dich um Almi
• Nutze Widgets für schnellen Tageskontext

Almost ist ein persönliches Entscheidungs- und Planungstool. Es ist keine Bank, bietet keine Finanzberatung und bewegt oder bestätigt keine Geldtransfers.","Almost ist jetzt einfacher und angenehmer zu bedienen – mit einem überarbeiteten Design in der gesamten App, klarerer Navigation und optimierten Bildschirmen, Karten und Bedienelementen.","Almi neben klaren Karten für Budget, Kalender, Sparziel und Fortschritt im überarbeiteten visuellen Stil von Almost."
pt,pt-PT,Almost: controlar impulsos,Trave compras impulsivas e crie hábitos de poupança mais conscientes,"Trave uma compra por impulso antes que vire arrependimento. O Almost ajuda a fazer uma pausa, registar o que quase comprou e transformar cada decisão consciente em progresso visível.

FAÇA A PAUSA CONTAR
• Poupe ou gaste a partir de uma carta de tentação e veja primeiro o impacto mensal
• Envie uma compra para Pensar depois e volte com a cabeça mais clara
• Crie sequências sem gastos, sem culpa nem regras rígidas

ENTENDA OS SEUS PADRÕES
• Receba limites mensais que se adaptam aos seus hábitos
• Consulte relatórios semanais e mensais
• Use o mapa de impulsos para encontrar dias, categorias e gatilhos de risco
• Acompanhe subscrições e próximas cobranças

MANTENHA A META À VISTA
• Crie metas de poupança e acompanhe o progresso
• Complete desafios, ganhe recompensas e cuide do Almi
• Veja rapidamente o contexto do dia nos widgets

O Almost é uma ferramenta pessoal de decisão e planeamento. Não é um banco, não presta aconselhamento financeiro e não movimenta dinheiro nem confirma transferências.","O Almost agora está mais fácil e agradável de usar, com um design renovado em todo o app, navegação mais clara e telas, cartões e controles mais bem acabados.","Almi junto a cartões claros de orçamento, calendário, meta de poupança e progresso no novo estilo visual do Almost."
it,it-IT,Almost: acquisti d'impulso,Ferma gli acquisti impulsivi e crea abitudini di risparmio più consapevoli,"Ferma un acquisto impulsivo prima che diventi un rimpianto. Almost ti aiuta a fare una pausa, registrare ciò che stavi per comprare e trasformare ogni scelta consapevole in un progresso visibile.

RENDI UTILE LA PAUSA
• Risparmia o spendi da una carta tentazione e guarda prima l'impatto mensile
• Metti un acquisto in Pensaci dopo e torna con la mente più lucida
• Costruisci serie senza spese, senza sensi di colpa o regole rigide

RICONOSCI I TUOI SCHEMI
• Usa limiti mensili che si adattano alle tue abitudini
• Consulta report settimanali e mensili
• Trova giorni, categorie e trigger a rischio sulla mappa degli impulsi
• Tieni sotto controllo abbonamenti e prossimi addebiti

TIENI L'OBIETTIVO IN VISTA
• Crea obiettivi di risparmio e segui i progressi
• Completa sfide, ottieni ricompense e prenditi cura di Almi
• Controlla il contesto del giorno dai widget

Almost è uno strumento personale di decisione e pianificazione. Non è una banca, non offre consulenza finanziaria e non sposta denaro né conferma trasferimenti.","Almost è ora più semplice e piacevole da usare, con un design rinnovato in tutta l’app, una navigazione più chiara e schermate, schede e controlli più curati.","Almi accanto a chiare schede di budget, calendario, obiettivo di risparmio e progresso nel nuovo stile visivo di Almost."
ar-sa,ar,Almost: أوقف الشراء الاندفاعي,توقف قبل الشراء الاندفاعي وابنِ عادات ادخار أكثر وعيًا,"أوقف الشراء الاندفاعي قبل أن يتحول إلى ندم. يساعدك Almost على التوقف للحظة وتسجيل ما كدت تشتريه وتحويل كل قرار واعٍ إلى تقدم واضح.

اجعل التوقف مفيدًا
• اختر الادخار أو الصرف من بطاقة الإغراء وشاهد الأثر الشهري أولًا
• ضع عملية الشراء في «فكّر لاحقًا» وعد إليها بذهن أصفى
• ابنِ سلاسل أيام بلا إنفاق من دون لوم أو قواعد قاسية

افهم أنماطك المالية
• استخدم حدودًا شهرية تتكيف مع عاداتك
• راجع التقارير الأسبوعية والشهرية
• اكتشف الأيام والفئات والمحفزات الخطرة في خريطة الاندفاع
• تابع الاشتراكات والرسوم القادمة

أبقِ هدفك أمامك
• أنشئ أهداف ادخار وتابع التقدم
• أكمل التحديات واكسب المكافآت واعتنِ بـ Almi
• اطّلع بسرعة على يومك من الأدوات المصغرة

Almost أداة شخصية لاتخاذ القرار والتخطيط. ليست بنكًا، ولا تقدم نصائح مالية، ولا تنقل الأموال أو تؤكد التحويلات.",أصبح استخدام Almost أسهل وأكثر متعة، بتصميم محدّث في جميع أنحاء التطبيق وتنقّل أوضح وشاشات وبطاقات وعناصر تحكم أكثر أناقة.,Almi بجوار بطاقات واضحة للميزانية والتقويم وهدف الادخار والتقدم ضمن الأسلوب المرئي المحدّث لتطبيق Almost.
ar-ae,ar,Almost: أوقف الشراء الاندفاعي,توقف قبل الشراء الاندفاعي وابنِ عادات توفير أكثر وعيًا,"أوقف الشراء الاندفاعي قبل أن يتحول إلى ندم. يساعدك Almost على التوقف للحظة وتسجيل ما كدت تشتريه وتحويل كل قرار واعٍ إلى تقدم واضح.

اجعل التوقف مفيدًا
• اختر التوفير أو الصرف من بطاقة الإغراء وشاهد الأثر الشهري أولًا
• ضع عملية الشراء في «فكّر لاحقًا» وعد إليها بذهن أصفى
• ابنِ سلاسل أيام بلا إنفاق من دون لوم أو قواعد قاسية

افهم أنماطك المالية
• استخدم حدودًا شهرية تتكيف مع عاداتك
• راجع التقارير الأسبوعية والشهرية
• اكتشف الأيام والفئات والمحفزات الخطرة في خريطة الاندفاع
• تابع الاشتراكات والرسوم القادمة

أبقِ هدفك أمامك
• أنشئ أهداف توفير وتابع التقدم
• أكمل التحديات واكسب المكافآت واعتنِ بـ Almi
• اطّلع بسرعة على يومك من الأدوات المصغرة

Almost أداة شخصية لاتخاذ القرار والتخطيط. ليست بنكًا، ولا تقدم نصائح مالية، ولا تنقل الأموال أو تؤكد التحويلات.",أصبح استخدام Almost أسهل وأكثر متعة، بتصميم محدّث في جميع أنحاء التطبيق وتنقّل أوضح وشاشات وبطاقات وعناصر تحكم أكثر أناقة.,Almi بجوار بطاقات واضحة للميزانية والتقويم وهدف التوفير والتقدم ضمن الأسلوب المرئي المحدّث لتطبيق Almost.
zh,zh-CN,Almost：停止冲动消费,暂停冲动消费，记录省下的钱，养成更理性的储蓄习惯,"在冲动消费变成后悔之前先停一下。Almost 帮你记录差点买下的东西，把每一次有意识的决定变成看得见的进步。

让暂停真正有用
• 在诱惑卡片中选择存下或花掉，并先查看月度影响
• 把想买的东西放入“稍后再想”，冷静后再决定
• 轻松建立无消费连续记录，不羞辱，也不靠僵硬规则

看清自己的消费模式
• 使用会根据习惯调整的月度限额
• 查看周报和月报
• 通过冲动地图发现高风险日期、类别和触发因素
• 跟踪订阅与即将发生的扣费

始终看见自己的目标
• 创建储蓄目标并持续查看进度
• 完成挑战、领取奖励并照顾 Almi
• 通过桌面小组件快速了解当天状态

Almost 是个人决策与规划工具，不是银行，不提供金融建议，也不会移动资金或确认转账。",Almost 现在更易用、更愉悦：全新的应用设计、更清晰的导航，以及更精致的页面、卡片和控件，让日常使用更加顺畅。,Almi 与清晰的预算、日历、储蓄目标和进度卡片，呈现 Almost 焕新的视觉风格。
