source_locale,store_locale,name,subtitle,promotional_text,keywords,description,whats_new
en,en-US,Almost - Stop Impulse Buying,Stop Impulse Buys & Save,"A refreshed Almost makes mindful saving clearer: smarter monthly limits, weekly reports, an impulse map, goals, streaks, and a more rewarding Almi.","impulse buying,savings tracker,no spend,budget,goals,overspending,money habits","Stop impulse buying before it becomes regret. Almost helps you pause in the moment, record what you nearly bought, and turn every intentional decision into visible progress.

MAKE THE PAUSE USEFUL
• Save or spend from a temptation card and see the monthly impact first
• Put a purchase in Think Later and return with a clearer head
• Build no-spend streaks without shame or rigid rules

SEE YOUR MONEY PATTERNS
• Get adaptive monthly limits based on your habits
• Review weekly and monthly reports
• Use the impulse map to spot risky days, categories, and triggers
• Track subscriptions, upcoming charges, and recurring pressure

KEEP A GOAL IN SIGHT
• Create savings goals and follow progress over time
• Complete challenges, earn rewards, and care for Almi
• Use home-screen widgets for quick daily context

Almost is a personal decision and planning tool. It is not a bank, does not provide financial advice, and does not move money or confirm transfers.","Almost is now easier and more enjoyable to use, with a refreshed design across the app, clearer navigation, and polished screens, cards, and controls."
es,es-ES,Almost: frena compras impulso,Frena impulsos y ahorra,"El nuevo diseño de Almost hace más claro el ahorro consciente: límites mensuales, informes, mapa de impulsos, metas, rachas y un Almi más motivador.","compras impulsivas,ahorro,sin gastos,presupuesto,metas,gastos,hábitos","Frena una compra impulsiva antes de que se convierta en arrepentimiento. Almost te ayuda a pausar, registrar lo que casi compraste y convertir cada decisión consciente en progreso visible.

HAZ QUE LA PAUSA CUENTE
• Ahorra o gasta desde una tarjeta de tentación y mira antes el impacto mensual
• Envía una compra a Pensar después y vuelve con la mente más clara
• Crea rachas sin gasto sin culpa ni reglas rígidas

ENTIENDE TUS PATRONES
• Recibe límites mensuales que se adaptan a tus hábitos
• Consulta informes semanales y mensuales
• Usa el mapa de impulsos para detectar días, categorías y detonantes de riesgo
• Controla suscripciones y próximos cobros

MANTÉN TUS METAS A LA VISTA
• Crea metas de ahorro y sigue su avance
• Completa retos, gana recompensas y cuida de Almi
• Consulta el contexto diario desde los widgets

Almost es una herramienta personal de decisión y planificación. No es un banco, no ofrece asesoramiento financiero y no mueve dinero ni confirma transferencias.","Almost ahora es más fácil y agradable de usar, con un diseño renovado en toda la app, una navegación más clara y pantallas, tarjetas y controles más cuidados."
fr,fr-FR,Almost : achats impulsifs,Freine les achats impulsifs,"Le nouveau design d’Almost rend l’épargne consciente plus claire : limites mensuelles, rapports, carte des impulsions, objectifs, séries et Almi.","achat impulsif,épargne,défi sans dépense,budget,objectifs,dépenses,habitudes","Freine un achat impulsif avant qu’il ne devienne un regret. Almost t’aide à faire une pause, noter ce que tu as failli acheter et transformer chaque décision consciente en progrès visible.

UNE PAUSE QUI COMPTE
• Épargne ou dépense depuis une carte de tentation et vois d’abord l’impact mensuel
• Place un achat dans À revoir plus tard et reviens avec les idées plus claires
• Construis des séries sans dépense, sans culpabilité ni règles rigides

COMPRENDS TES HABITUDES
• Obtiens des limites mensuelles adaptées à ton comportement
• Consulte les rapports hebdomadaires et mensuels
• Utilise la carte des impulsions pour repérer les jours, catégories et déclencheurs à risque
• Suis les abonnements et les prochains prélèvements

GARDE TON OBJECTIF EN VUE
• Crée des objectifs d’épargne et suis leur progression
• Relève des défis, gagne des récompenses et prends soin d’Almi
• Consulte le contexte du jour depuis les widgets

Almost est un outil personnel de décision et de planification. Ce n’est pas une banque, il ne fournit pas de conseil financier et ne déplace ni ne confirme aucun transfert d’argent.","Almost est désormais plus simple et plus agréable à utiliser, avec un design repensé dans toute l’app, une navigation plus claire et des écrans, cartes et commandes plus soignées."
ru,ru,Almost: стоп импульс-покупкам,"Меньше импульсов, больше цели","Обновлённый Almost делает осознанные накопления понятнее: умные лимиты, отчёты, карта импульсов, цели, серии и более мотивирующий Алми.","импульсные покупки,копилка,без трат,бюджет,цели","Останови импульсную покупку до того, как она превратится в сожаление. Almost помогает сделать паузу, записать то, что ты чуть не купил, и превратить осознанное решение в заметный прогресс.

ПАУЗА С ПОЛЬЗОЙ
• Сохраняй или трать из карточки искушения и заранее смотри месячный эффект
• Отправляй покупку в «Подумать позже» и возвращайся к ней с ясной головой
• Собирай серии дней без трат без стыда и жёстких правил

ПОНИМАЙ СВОИ ПАТТЕРНЫ
• Получай месячные лимиты, которые адаптируются к привычкам
• Смотри недельные и месячные отчёты
• Находи рискованные дни, категории и триггеры на карте импульсов
• Следи за подписками и ближайшими списаниями

ДЕРЖИ ЦЕЛЬ ПЕРЕД ГЛАЗАМИ
• Создавай цели накоплений и следи за прогрессом
• Выполняй челленджи, получай награды и заботься об Алми
• Быстро проверяй день через виджеты

Almost — личный инструмент для решений и планирования. Это не банк: приложение не даёт финансовых советов, не перемещает деньги и не подтверждает переводы.","Almost стал удобнее и приятнее: мы обновили дизайн всего приложения, сделали навигацию понятнее, а экраны, карточки и элементы управления — аккуратнее."
de,de-DE,Almost: Impulskäufe stoppen,Impulskäufe stoppen & sparen,"Das neue Almost macht bewusstes Sparen klarer: smarte Monatslimits, Berichte, Impulskarte, Ziele, Serien und ein motivierenderer Almi.","Impulskauf,Spartracker,kauffrei,Budget,Ziele,Ausgaben,Geldgewohnheiten","Stoppe Impulskäufe, bevor sie zu Reue werden. Almost hilft dir, im richtigen Moment innezuhalten, Beinahe-Käufe festzuhalten und bewusste Entscheidungen als sichtbaren Fortschritt zu erleben.

MACH DIE PAUSE WERTVOLL
• Spare oder gib über eine Versuchungskarte aus und sieh vorher die Monatswirkung
• Lege einen Kauf in Später überlegen und kehre mit klarem Kopf zurück
• Baue kaufreie Serien ohne Schuldgefühl oder starre Regeln auf

ERKENNE DEINE MUSTER
• Nutze monatliche Limits, die sich an deine Gewohnheiten anpassen
• Prüfe Wochen- und Monatsberichte
• Erkenne riskante Tage, Kategorien und Auslöser auf der Impulskarte
• Behalte Abos und kommende Abbuchungen im Blick

BEHALTE DEIN ZIEL VOR AUGEN
• Erstelle Sparziele und verfolge den Fortschritt
• Schließe Challenges ab, verdiene Belohnungen und kümmere dich um Almi
• Nutze Widgets für schnellen Tageskontext

Almost ist ein persönliches Entscheidungs- und Planungstool. Es ist keine Bank, bietet keine Finanzberatung und bewegt oder bestätigt keine Geldtransfers.","Almost ist jetzt einfacher und angenehmer zu bedienen – mit einem überarbeiteten Design in der gesamten App, klarerer Navigation und optimierten Bildschirmen, Karten und Bedienelementen."
pt,pt-PT,Almost: controlar impulsos,Controle impulsos e poupe,"O novo visual do Almost torna a poupança consciente mais clara: limites mensais, relatórios, mapa de impulsos, metas, sequências e Almi.","compras impulsivas,poupança,sem gastos,orçamento,metas,despesas,hábitos","Trave uma compra por impulso antes que vire arrependimento. O Almost ajuda a fazer uma pausa, registar o que quase comprou e transformar cada decisão consciente em progresso visível.

FAÇA A PAUSA CONTAR
• Poupe ou gaste a partir de uma carta de tentação e veja primeiro o impacto mensal
• Envie uma compra para Pensar depois e volte com a cabeça mais clara
• Crie sequências sem gastos, sem culpa nem regras rígidas

ENTENDA OS SEUS PADRÕES
• Receba limites mensais que se adaptam aos seus hábitos
• Consulte relatórios semanais e mensais
• Use o mapa de impulsos para encontrar dias, categorias e gatilhos de risco
• Acompanhe subscrições e próximas cobranças

MANTENHA A META À VISTA
• Crie metas de poupança e acompanhe o progresso
• Complete desafios, ganhe recompensas e cuide do Almi
• Veja rapidamente o contexto do dia nos widgets

O Almost é uma ferramenta pessoal de decisão e planeamento. Não é um banco, não presta aconselhamento financeiro e não movimenta dinheiro nem confirma transferências.","O Almost agora está mais fácil e agradável de usar, com um design renovado em todo o app, navegação mais clara e telas, cartões e controles mais bem acabados."
it,it,Almost: acquisti d'impulso,"Meno impulsi, più risparmi","Il nuovo Almost rende più chiaro il risparmio consapevole: limiti mensili, report, mappa degli impulsi, obiettivi, serie e un Almi più motivante.","acquisti impulsivi,risparmio,senza spese,budget,obiettivi,spese,abitudini","Ferma un acquisto impulsivo prima che diventi un rimpianto. Almost ti aiuta a fare una pausa, registrare ciò che stavi per comprare e trasformare ogni scelta consapevole in un progresso visibile.

RENDI UTILE LA PAUSA
• Risparmia o spendi da una carta tentazione e guarda prima l'impatto mensile
• Metti un acquisto in Pensaci dopo e torna con la mente più lucida
• Costruisci serie senza spese, senza sensi di colpa o regole rigide

RICONOSCI I TUOI SCHEMI
• Usa limiti mensili che si adattano alle tue abitudini
• Consulta report settimanali e mensili
• Trova giorni, categorie e trigger a rischio sulla mappa degli impulsi
• Tieni sotto controllo abbonamenti e prossimi addebiti

TIENI L'OBIETTIVO IN VISTA
• Crea obiettivi di risparmio e segui i progressi
• Completa sfide, ottieni ricompense e prenditi cura di Almi
• Controlla il contesto del giorno dai widget

Almost è uno strumento personale di decisione e pianificazione. Non è una banca, non offre consulenza finanziaria e non sposta denaro né conferma trasferimenti.","Almost è ora più semplice e piacevole da usare, con un design rinnovato in tutta l’app, una navigazione più chiara e schermate, schede e controlli più curati."
ar-sa,ar,Almost: أوقف الشراء الاندفاعي,قلّل الاندفاع وادخر أكثر,يجعل تصميم Almost المحدّث الادخار الواعي أوضح: حدود شهرية ذكية وتقارير وخريطة للاندفاع وأهداف وسلاسل وتجربة أكثر تحفيزًا مع Almi.,"شراء اندفاعي,ادخار,ميزانية,أهداف,عادات مالية","أوقف الشراء الاندفاعي قبل أن يتحول إلى ندم. يساعدك Almost على التوقف للحظة وتسجيل ما كدت تشتريه وتحويل كل قرار واعٍ إلى تقدم واضح.

اجعل التوقف مفيدًا
• اختر الادخار أو الصرف من بطاقة الإغراء وشاهد الأثر الشهري أولًا
• ضع عملية الشراء في «فكّر لاحقًا» وعد إليها بذهن أصفى
• ابنِ سلاسل أيام بلا إنفاق من دون لوم أو قواعد قاسية

افهم أنماطك المالية
• استخدم حدودًا شهرية تتكيف مع عاداتك
• راجع التقارير الأسبوعية والشهرية
• اكتشف الأيام والفئات والمحفزات الخطرة في خريطة الاندفاع
• تابع الاشتراكات والرسوم القادمة

أبقِ هدفك أمامك
• أنشئ أهداف ادخار وتابع التقدم
• أكمل التحديات واكسب المكافآت واعتنِ بـ Almi
• اطّلع بسرعة على يومك من الأدوات المصغرة

Almost أداة شخصية لاتخاذ القرار والتخطيط. ليست بنكًا، ولا تقدم نصائح مالية، ولا تنقل الأموال أو تؤكد التحويلات.",أصبح استخدام Almost أسهل وأكثر متعة، بتصميم محدّث في جميع أنحاء التطبيق وتنقّل أوضح وشاشات وبطاقات وعناصر تحكم أكثر أناقة.
ar-ae,ar,Almost: أوقف الشراء الاندفاعي,قلّل الاندفاع ووفّر أكثر,يجعل تصميم Almost المحدّث التوفير الواعي أوضح: حدود شهرية ذكية وتقارير وخريطة للاندفاع وأهداف وسلاسل وتجربة أكثر تحفيزًا مع Almi.,"شراء اندفاعي,توفير,ميزانية,أهداف,عادات مالية","أوقف الشراء الاندفاعي قبل أن يتحول إلى ندم. يساعدك Almost على التوقف للحظة وتسجيل ما كدت تشتريه وتحويل كل قرار واعٍ إلى تقدم واضح.

اجعل التوقف مفيدًا
• اختر التوفير أو الصرف من بطاقة الإغراء وشاهد الأثر الشهري أولًا
• ضع عملية الشراء في «فكّر لاحقًا» وعد إليها بذهن أصفى
• ابنِ سلاسل أيام بلا إنفاق من دون لوم أو قواعد قاسية

افهم أنماطك المالية
• استخدم حدودًا شهرية تتكيف مع عاداتك
• راجع التقارير الأسبوعية والشهرية
• اكتشف الأيام والفئات والمحفزات الخطرة في خريطة الاندفاع
• تابع الاشتراكات والرسوم القادمة

أبقِ هدفك أمامك
• أنشئ أهداف توفير وتابع التقدم
• أكمل التحديات واكسب المكافآت واعتنِ بـ Almi
• اطّلع بسرعة على يومك من الأدوات المصغرة

Almost أداة شخصية لاتخاذ القرار والتخطيط. ليست بنكًا، ولا تقدم نصائح مالية، ولا تنقل الأموال أو تؤكد التحويلات.",أصبح استخدام Almost أسهل وأكثر متعة، بتصميم محدّث في جميع أنحاء التطبيق وتنقّل أوضح وشاشات وبطاقات وعناصر تحكم أكثر أناقة.
zh,zh-Hans,Almost：停止冲动消费,少冲动消费，多实现目标,焕新的 Almost 让理性储蓄更清晰：智能月度限额、周月报告、冲动地图、储蓄目标、连续记录，以及更有陪伴感的 Almi。,"冲动消费,储蓄记录,无消费挑战,预算,储蓄目标,支出,理财习惯","在冲动消费变成后悔之前先停一下。Almost 帮你记录差点买下的东西，把每一次有意识的决定变成看得见的进步。

让暂停真正有用
• 在诱惑卡片中选择存下或花掉，并先查看月度影响
• 把想买的东西放入“稍后再想”，冷静后再决定
• 轻松建立无消费连续记录，不羞辱，也不靠僵硬规则

看清自己的消费模式
• 使用会根据习惯调整的月度限额
• 查看周报和月报
• 通过冲动地图发现高风险日期、类别和触发因素
• 跟踪订阅与即将发生的扣费

始终看见自己的目标
• 创建储蓄目标并持续查看进度
• 完成挑战、领取奖励并照顾 Almi
• 通过桌面小组件快速了解当天状态

Almost 是个人决策与规划工具，不是银行，不提供金融建议，也不会移动资金或确认转账。",Almost 现在更易用、更愉悦：全新的应用设计、更清晰的导航，以及更精致的页面、卡片和控件，让日常使用更加顺畅。
ko,ko,Almost: 충동구매 멈추기,충동구매를 줄이고 더 저축하기,"새로워진 Almost에서 더 똑똑한 월별 한도, 주간·월간 리포트, 충동 지도, 저축 목표, 연속 기록, Almi의 보상으로 지출 습관을 바꿔 보세요.","충동구매,저축기록,무지출챌린지,예산,저축목표,지출,돈습관","충동구매가 후회가 되기 전에 잠시 멈춰 보세요. Almost는 살 뻔한 물건을 기록하고, 의식적인 선택을 눈에 보이는 진전으로 바꾸도록 도와줍니다.

멈춤을 의미 있게
• 유혹 카드에서 저축 또는 지출을 선택하고 월간 영향을 먼저 확인하세요
• 구매를 나중에 생각하기에 보관한 뒤 더 차분하게 다시 결정하세요
• 죄책감이나 엄격한 규칙 없이 무지출 연속 기록을 쌓으세요

나의 소비 패턴 이해하기
• 습관에 맞춰 조정되는 월별 한도를 사용하세요
• 주간 및 월간 리포트를 확인하세요
• 충동 지도에서 위험한 날, 카테고리, 계기를 찾아보세요
• 구독과 예정 결제를 관리하세요

목표를 계속 눈앞에
• 저축 목표를 만들고 진행 상황을 추적하세요
• 챌린지를 완료하고 보상을 받으며 Almi를 돌보세요
• 홈 화면 위젯에서 오늘의 흐름을 빠르게 확인하세요

Almost는 개인적인 의사결정과 계획을 돕는 도구입니다. 은행이나 금융 자문 서비스가 아니며, 돈을 이동하거나 이체를 확인하지 않습니다.","Almost가 앱 전반의 새로워진 디자인과 더 명확한 탐색, 한층 세련된 화면·카드·조작 요소로 더욱 쉽고 즐겁게 사용할 수 있게 되었습니다."
